1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
39,state-gov,77516,bachelors,13,never-married,adm-clerical,not-in-family,white,male,2174,0,40,united-states,<=50k
38,private,215646,hs-grad,9,divorced,handlers-cleaners,not-in-family,white,male,0,0,40,united-states,<=50k
53,private,234721,11th,7,married-civ-spouse,handlers-cleaners,husband,black,male,0,0,40,united-states,<=50k
28,private,338409,bachelors,13,married-civ-spouse,prof-specialty,wife,black,female,0,0,40,cuba,<=50k
37,private,284582,masters,14,married-civ-spouse,exec-managerial,wife,white,female,0,0,40,united-states,<=50k
52,self-emp-not-inc,209642,hs-grad,9,married-civ-spouse,exec-managerial,husband,white,male,0,0,45,united-states,>50k
31,private,45781,masters,14,never-married,prof-specialty,not-in-family,white,female,14084,0,50,united-states,>50k
42,private,159449,bachelors,13,married-civ-spouse,exec-managerial,husband,white,male,5178,0,40,united-states,>50k
30,state-gov,141297,bachelors,13,married-civ-spouse,prof-specialty,husband,asian-pac-islander,male,0,0,40,india,>50k
32,private,205019,assoc-acdm,12,never-married,sales,not-in-family,black,male,0,0,50,united-states,<=50k
40,private,121772,assoc-voc,11,married-civ-spouse,craft-repair,husband,asian-pac-islander,male,0,0,40,?,>50k
25,self-emp-not-inc,176756,hs-grad,9,never-married,farming-fishing,own-child,white,male,0,0,35,united-states,<=50k
32,private,186824,hs-grad,9,never-married,machine-op-inspct,unmarried,white,male,0,0,40,united-states,<=50k
38,private,28887,11th,7,married-civ-spouse,sales,husband,white,male,0,0,50,united-states,<=50k
43,self-emp-not-inc,292175,masters,14,divorced,exec-managerial,unmarried,white,female,0,0,45,united-states,>50k
35,federal-gov,76845,9th,5,married-civ-spouse,farming-fishing,husband,black,male,0,0,40,united-states,<=50k
43,private,117037,11th,7,married-civ-spouse,transport-moving,husband,white,male,0,2042,40,united-states,<=50k
59,private,109015,hs-grad,9,divorced,tech-support,unmarried,white,female,0,0,40,united-states,<=50k
56,local-gov,216851,bachelors,13,married-civ-spouse,tech-support,husband,white,male,0,0,40,united-states,>50k
19,private,168294,hs-grad,9,never-married,craft-repair,own-child,white,male,0,0,40,united-states,<=50k
49,private,193366,hs-grad,9,married-civ-spouse,craft-repair,husband,white,male,0,0,40,united-states,<=50k
23,local-gov,190709,assoc-acdm,12,never-married,protective-serv,not-in-family,white,male,0,0,52,united-states,<=50k
20,private,266015,some-college,10,never-married,sales,own-child,black,male,0,0,44,united-states,<=50k
45,private,386940,bachelors,13,divorced,exec-managerial,own-child,white,male,0,1408,40,united-states,<=50k
30,federal-gov,59951,some-college,10,married-civ-spouse,adm-clerical,own-child,white,male,0,0,40,united-states,<=50k
48,private,242406,11th,7,never-married,machine-op-inspct,unmarried,white,male,0,0,40,puerto-rico,<=50k
21,private,197200,some-college,10,never-married,machine-op-inspct,own-child,white,male,0,0,40,united-states,<=50k
31,private,84154,some-college,10,married-civ-spouse,sales,husband,white,male,0,0,38,?,>50k
48,self-emp-not-inc,265477,assoc-acdm,12,married-civ-spouse,prof-specialty,husband,white,male,0,0,40,united-states,<=50k
31,private,507875,9th,5,married-civ-spouse,machine-op-inspct,husband,white,male,0,0,43,united-states,<=50k
53,self-emp-not-inc,88506,bachelors,13,married-civ-spouse,prof-specialty,husband,white,male,0,0,40,united-states,<=50k
24,private,172987,bachelors,13,married-civ-spouse,tech-support,husband,white,male,0,0,50,united-states,<=50k
49,private,94638,hs-grad,9,separated,adm-clerical,unmarried,white,female,0,0,40,united-states,<=50k
25,private,289980,hs-grad,9,never-married,handlers-cleaners,not-in-family,white,male,0,0,35,united-states,<=50k
57,federal-gov,337895,bachelors,13,married-civ-spouse,prof-specialty,husband,black,male,0,0,40,united-states,>50k
53,private,144361,hs-grad,9,married-civ-spouse,machine-op-inspct,husband,white,male,0,0,38,united-states,<=50k
44,private,128354,masters,14,divorced,exec-managerial,unmarried,white,female,0,0,40,united-states,<=50k
41,state-gov,101603,assoc-voc,11,married-civ-spouse,craft-repair,husband,white,male,0,0,40,united-states,<=50k
29,private,271466,assoc-voc,11,never-married,prof-specialty,not-in-family,white,male,0,0,43,united-states,<=50k
25,private,32275,some-college,10,married-civ-spouse,exec-managerial,wife,other,female,0,0,40,united-states,<=50k
43,private,237993,some-college,10,married-civ-spouse,tech-support,husband,white,male,0,0,40,united-states,>50k
35,private,56352,assoc-voc,11,married-civ-spouse,other-service,husband,white,male,0,0,40,puerto-rico,<=50k
41,private,147372,hs-grad,9,married-civ-spouse,adm-clerical,husband,white,male,0,0,48,united-states,<=50k
30,private,188146,hs-grad,9,married-civ-spouse,machine-op-inspct,husband,white,male,5013,0,40,united-states,<=50k
30,private,59496,bachelors,13,married-civ-spouse,sales,husband,white,male,2407,0,40,united-states,<=50k
48,private,149640,hs-grad,9,married-civ-spouse,transport-moving,husband,white,male,0,0,40,united-states,<=50k
42,private,116632,doctorate,16,married-civ-spouse,prof-specialty,husband,white,male,0,0,45,united-states,>50k
36,private,155537,hs-grad,9,married-civ-spouse,craft-repair,husband,white,male,0,0,40,united-states,<=50k
28,private,183175,some-college,10,divorced,adm-clerical,not-in-family,white,female,0,0,40,united-states,<=50k
53,private,169846,hs-grad,9,married-civ-spouse,adm-clerical,wife,white,female,0,0,40,united-states,>50k
49,self-emp-inc,191681,some-college,10,married-civ-spouse,exec-managerial,husband,white,male,0,0,50,united-states,>50k
25,?,200681,some-college,10,never-married,?,own-child,white,male,0,0,40,united-states,<=50k
31,private,309974,bachelors,13,separated,sales,own-child,black,female,0,0,40,united-states,<=50k
23,private,211678,some-college,10,never-married,machine-op-inspct,not-in-family,white,male,0,0,40,united-states,<=50k
27,private,213921,hs-grad,9,never-married,other-service,own-child,white,male,0,0,40,mexico,<=50k
40,private,32214,assoc-acdm,12,married-civ-spouse,adm-clerical,husband,white,male,0,0,40,united-states,<=50k
52,private,276515,bachelors,13,married-civ-spouse,other-service,husband,white,male,0,0,40,cuba,<=50k
46,private,51618,hs-grad,9,married-civ-spouse,other-service,wife,white,female,0,0,40,united-states,<=50k
59,private,159937,hs-grad,9,married-civ-spouse,sales,husband,white,male,0,0,48,united-states,<=50k
44,private,343591,hs-grad,9,divorced,craft-repair,not-in-family,white,female,14344,0,40,united-states,>50k
53,private,346253,hs-grad,9,divorced,sales,own-child,white,female,0,0,35,united-states,<=50k
49,local-gov,268234,hs-grad,9,married-civ-spouse,protective-serv,husband,white,male,0,0,40,united-states,>50k
33,private,202051,masters,14,married-civ-spouse,prof-specialty,husband,white,male,0,0,50,united-states,<=50k
30,private,54334,9th,5,never-married,sales,not-in-family,white,male,0,0,40,united-states,<=50k
43,federal-gov,410867,doctorate,16,never-married,prof-specialty,not-in-family,white,female,0,0,50,united-states,>50k
57,private,249977,assoc-voc,11,married-civ-spouse,prof-specialty,husband,white,male,0,0,40,united-states,<=50k
37,private,286730,some-college,10,divorced,craft-repair,unmarried,white,female,0,0,40,united-states,<=50k
30,private,117747,hs-grad,9,married-civ-spouse,sales,wife,asian-pac-islander,female,0,1573,35,?,<=50k
34,local-gov,226296,bachelors,13,married-civ-spouse,protective-serv,husband,white,male,0,0,40,united-states,>50k
29,local-gov,115585,some-college,10,never-married,handlers-cleaners,not-in-family,white,male,0,0,50,united-states,<=50k
37,private,202683,some-college,10,married-civ-spouse,sales,husband,white,male,0,0,48,united-states,>50k
48,private,171095,assoc-acdm,12,divorced,exec-managerial,unmarried,white,female,0,0,40,england,<=50k
32,federal-gov,249409,hs-grad,9,never-married,other-service,own-child,black,male,0,0,40,united-states,<=50k
76,private,124191,masters,14,married-civ-spouse,exec-managerial,husband,white,male,0,0,40,united-states,>50k
47,self-emp-not-inc,149116,masters,14,never-married,prof-specialty,not-in-family,white,female,0,0,50,united-states,<=50k
20,private,188300,some-college,10,never-married,tech-support,own-child,white,female,0,0,40,united-states,<=50k
29,private,103432,hs-grad,9,never-married,craft-repair,not-in-family,white,male,0,0,40,united-states,<=50k
32,self-emp-inc,317660,hs-grad,9,married-civ-spouse,craft-repair,husband,white,male,7688,0,40,united-states,>50k
30,private,194901,11th,7,never-married,handlers-cleaners,own-child,white,male,0,0,40,united-states,<=50k
31,local-gov,189265,hs-grad,9,never-married,adm-clerical,not-in-family,white,female,0,0,40,united-states,<=50k
42,private,124692,hs-grad,9,married-civ-spouse,handlers-cleaners,husband,white,male,0,0,40,united-states,<=50k
24,private,432376,bachelors,13,never-married,sales,other-relative,white,male,0,0,40,united-states,<=50k
38,private,65324,prof-school,15,married-civ-spouse,prof-specialty,husband,white,male,0,0,40,united-states,>50k
56,self-emp-not-inc,335605,hs-grad,9,married-civ-spouse,other-service,husband,white,male,0,1887,50,canada,>50k
36,private,102864,hs-grad,9,never-married,machine-op-inspct,own-child,white,female,0,0,40,united-states,<=50k
53,private,95647,9th,5,married-civ-spouse,handlers-cleaners,husband,white,male,0,0,50,united-states,<=50k
56,self-emp-inc,303090,some-college,10,married-civ-spouse,sales,husband,white,male,0,0,50,united-states,<=50k
49,local-gov,197371,assoc-voc,11,married-civ-spouse,craft-repair,husband,black,male,0,0,40,united-states,>50k
22,private,102632,hs-grad,9,never-married,craft-repair,not-in-family,white,male,0,0,41,united-states,<=50k
21,private,199915,some-college,10,never-married,other-service,own-child,white,female,0,0,40,united-states,<=50k
30,private,77143,bachelors,13,never-married,exec-managerial,own-child,black,male,0,0,40,germany,<=50k
29,state-gov,267989,bachelors,13,married-civ-spouse,prof-specialty,husband,white,male,0,0,50,united-states,>50k
19,private,301606,some-college,10,never-married,other-service,own-child,black,male,0,0,35,united-states,<=50k
47,private,287828,bachelors,13,married-civ-spouse,exec-managerial,wife,white,female,0,0,40,united-states,>50k
31,private,114937,assoc-acdm,12,married-civ-spouse,adm-clerical,husband,white,male,0,0,40,united-states,>50k
35,?,129305,hs-grad,9,married-civ-spouse,?,husband,white,male,0,0,40,united-states,<=50k
39,private,365739,some-college,10,divorced,craft-repair,not-in-family,white,male,0,0,40,united-states,<=50k
24,private,43323,hs-grad,9,never-married,other-service,not-in-family,white,female,0,1762,40,united-states,<=50k
38,self-emp-not-inc,120985,hs-grad,9,married-civ-spouse,craft-repair,husband,white,male,4386,0,35,united-states,<=50k
37,private,254202,bachelors,13,married-civ-spouse,sales,husband,white,male,0,0,50,united-states,<=50k
46,private,146195,assoc-acdm,12,divorced,tech-support,not-in-family,black,female,0,0,36,united-states,<=50k
38,federal-gov,125933,masters,14,married-civ-spouse,prof-specialty,husband,white,male,0,0,40,iran,>50k
27,private,163127,assoc-voc,11,married-civ-spouse,adm-clerical,wife,white,female,0,0,35,united-states,<=50k
49,private,81973,some-college,10,married-civ-spouse,craft-repair,husband,asian-pac-islander,male,0,0,40,united-states,>50k
61,self-emp-inc,66614,hs-grad,9,married-civ-spouse,craft-repair,husband,white,male,0,0,40,united-states,<=50k
27,private,232782,some-college,10,never-married,sales,own-child,white,female,0,0,40,united-states,<=50k
45,private,196584,assoc-voc,11,never-married,prof-specialty,not-in-family,white,female,0,1564,40,united-states,>50k
70,private,105376,some-college,10,never-married,tech-support,other-relative,white,male,0,0,40,united-states,<=50k
64,private,181232,11th,7,married-civ-spouse,craft-repair,husband,white,male,0,2179,40,united-states,<=50k
43,?,174662,some-college,10,divorced,?,not-in-family,white,female,0,0,40,united-states,<=50k
47,local-gov,186009,some-college,10,divorced,adm-clerical,unmarried,white,female,0,0,38,mexico,<=50k
34,private,198183,hs-grad,9,never-married,adm-clerical,not-in-family,white,female,0,0,40,united-states,<=50k
33,private,163003,bachelors,13,never-married,exec-managerial,other-relative,asian-pac-islander,female,0,0,40,philippines,<=50k
21,private,296158,hs-grad,9,never-married,craft-repair,own-child,white,male,0,0,35,united-states,<=50k
52,?,252903,hs-grad,9,divorced,?,not-in-family,white,male,0,0,45,united-states,>50k
48,private,187715,hs-grad,9,married-civ-spouse,craft-repair,husband,white,male,0,0,46,united-states,<=50k
23,private,214542,bachelors,13,never-married,handlers-cleaners,not-in-family,white,male,0,0,40,united-states,<=50k
42,private,228456,bachelors,13,separated,other-service,other-relative,black,male,0,0,50,united-states,<=50k
25,private,252752,hs-grad,9,never-married,other-service,unmarried,white,female,0,0,40,united-states,<=50k
44,self-emp-inc,78374,masters,14,divorced,exec-managerial,unmarried,asian-pac-islander,female,0,0,40,united-states,<=50k
28,private,88419,hs-grad,9,never-married,exec-managerial,not-in-family,asian-pac-islander,female,0,0,40,england,<=50k
45,self-emp-not-inc,201080,masters,14,married-civ-spouse,sales,husband,white,male,0,0,40,united-states,>50k
36,private,207157,some-college,10,divorced,other-service,unmarried,white,female,0,0,40,mexico,<=50k
39,federal-gov,235485,assoc-acdm,12,never-married,exec-managerial,not-in-family,white,male,0,0,42,united-states,<=50k
46,state-gov,102628,masters,14,widowed,protective-serv,unmarried,white,male,0,0,40,united-states,<=50k
27,private,124953,hs-grad,9,never-married,other-service,not-in-family,white,male,0,1980,40,united-states,<=50k
28,state-gov,175325,hs-grad,9,married-civ-spouse,protective-serv,husband,white,male,0,0,40,united-states,<=50k
51,private,96062,some-college,10,married-civ-spouse,sales,husband,white,male,0,1977,40,united-states,>50k
27,private,428030,bachelors,13,never-married,craft-repair,not-in-family,white,male,0,0,50,united-states,<=50k
28,state-gov,149624,bachelors,13,married-civ-spouse,prof-specialty,husband,white,male,0,0,40,united-states,>50k
21,private,312956,hs-grad,9,never-married,craft-repair,own-child,black,male,0,0,40,united-states,<=50k
34,private,483777,hs-grad,9,never-married,handlers-cleaners,not-in-family,black,male,0,0,40,united-states,<=50k
44,local-gov,181344,some-college,10,married-civ-spouse,exec-managerial,husband,black,male,0,0,38,united-states,>50k
43,private,114580,some-college,10,divorced,adm-clerical,not-in-family,white,female,0,0,40,united-states,<=50k
30,private,633742,some-college,10,never-married,craft-repair,not-in-family,black,male,0,0,45,united-states,<=50k
37,federal-gov,29054,some-college,10,married-civ-spouse,adm-clerical,husband,white,male,0,0,42,united-states,>50k
34,private,304030,hs-grad,9,married-civ-spouse,adm-clerical,husband,black,male,0,0,40,united-states,<=50k
41,self-emp-not-inc,143129,bachelors,13,divorced,exec-managerial,not-in-family,white,female,0,0,40,united-states,<=50k
53,?,135105,bachelors,13,divorced,?,not-in-family,white,female,0,0,50,united-states,<=50k
31,private,99928,masters,14,married-civ-spouse,prof-specialty,wife,white,female,0,0,50,united-states,<=50k
24,private,159567,some-college,10,married-civ-spouse,machine-op-inspct,husband,white,male,0,0,40,united-states,<=50k
41,local-gov,523910,bachelors,13,married-civ-spouse,craft-repair,husband,black,male,0,0,40,united-states,<=50k
47,private,120939,some-college,10,married-civ-spouse,tech-support,husband,white,male,0,0,45,united-states,<=50k
36,private,99374,some-college,10,divorced,craft-repair,not-in-family,white,male,0,0,40,united-states,<=50k
35,private,138992,masters,14,married-civ-spouse,prof-specialty,other-relative,white,male,7298,0,40,united-states,>50k
24,self-emp-not-inc,32921,hs-grad,9,never-married,sales,not-in-family,white,male,0,0,40,united-states,<=50k
26,private,397317,masters,14,never-married,prof-specialty,not-in-family,white,female,0,1876,40,united-states,<=50k
19,?,170653,hs-grad,9,never-married,?,own-child,white,male,0,0,40,italy,<=50k
51,private,259323,bachelors,13,married-civ-spouse,exec-managerial,husband,white,male,0,0,50,united-states,>50k
42,local-gov,254817,some-college,10,never-married,prof-specialty,not-in-family,white,female,0,1340,40,united-states,<=50k
37,state-gov,48211,hs-grad,9,divorced,adm-clerical,unmarried,white,female,0,0,35,united-states,<=50k
18,private,140164,11th,7,never-married,sales,own-child,white,female,0,0,40,united-states,<=50k
36,private,128757,bachelors,13,married-civ-spouse,other-service,husband,black,male,7298,0,36,united-states,>50k
58,self-emp-inc,210563,hs-grad,9,married-civ-spouse,sales,wife,white,female,15024,0,35,united-states,>50k
44,local-gov,160943,hs-grad,9,married-civ-spouse,transport-moving,husband,black,male,0,0,40,united-states,<=50k
37,private,208358,hs-grad,9,married-civ-spouse,craft-repair,husband,white,male,0,0,40,united-states,>50k
35,private,153790,some-college,10,never-married,sales,not-in-family,amer-indian-eskimo,female,0,0,40,united-states,<=50k
60,private,85815,hs-grad,9,married-civ-spouse,craft-repair,husband,asian-pac-islander,male,0,0,40,united-states,<=50k
50,private,313321,assoc-acdm,12,divorced,sales,not-in-family,white,female,0,0,40,united-states,<=50k
38,private,182609,bachelors,13,married-civ-spouse,sales,husband,white,male,0,0,50,poland,<=50k
25,private,255004,10th,6,never-married,craft-repair,not-in-family,white,male,0,0,40,united-states,<=50k
31,private,197860,some-college,10,married-civ-spouse,handlers-cleaners,husband,white,male,0,0,40,united-states,<=50k
18,private,243313,hs-grad,9,never-married,sales,own-child,white,female,0,0,40,united-states,<=50k
66,self-emp-not-inc,167687,hs-grad,9,married-civ-spouse,farming-fishing,husband,white,male,1409,0,50,united-states,<=50k
65,private,176796,hs-grad,9,divorced,adm-clerical,not-in-family,white,female,0,0,40,united-states,<=50k
35,private,538583,11th,7,separated,transport-moving,not-in-family,black,male,3674,0,40,united-states,<=50k
41,private,130408,hs-grad,9,divorced,sales,unmarried,black,female,0,0,38,united-states,<=50k
25,private,159732,some-college,10,never-married,adm-clerical,not-in-family,white,male,0,0,42,united-states,<=50k
33,private,110978,some-college,10,divorced,craft-repair,other-relative,other,female,0,0,40,united-states,<=50k
59,state-gov,268700,hs-grad,9,married-civ-spouse,other-service,husband,white,male,0,0,40,united-states,<=50k
40,state-gov,170525,some-college,10,never-married,adm-clerical,not-in-family,white,female,0,0,38,united-states,<=50k
41,private,180138,bachelors,13,married-civ-spouse,exec-managerial,husband,white,male,0,0,50,iran,>50k
23,private,115458,hs-grad,9,never-married,transport-moving,own-child,white,male,0,0,40,united-states,<=50k
40,private,347890,bachelors,13,married-civ-spouse,prof-specialty,husband,white,male,0,0,40,united-states,>50k
24,state-gov,273905,assoc-acdm,12,married-civ-spouse,protective-serv,husband,white,male,0,0,50,united-states,<=50k
38,private,179488,some-college,10,divorced,craft-repair,not-in-family,white,male,0,1741,40,united-states,<=50k
56,private,203580,hs-grad,9,married-civ-spouse,adm-clerical,husband,white,male,0,0,35,?,<=50k
58,private,236596,hs-grad,9,married-civ-spouse,adm-clerical,husband,white,male,0,0,45,united-states,>50k
32,private,183916,hs-grad,9,never-married,other-service,not-in-family,white,female,0,0,34,united-states,<=50k
45,private,153141,hs-grad,9,married-civ-spouse,adm-clerical,husband,white,male,0,0,40,?,<=50k
41,private,112763,prof-school,15,married-civ-spouse,prof-specialty,wife,white,female,0,0,40,united-states,>50k
42,private,390781,bachelors,13,married-civ-spouse,adm-clerical,wife,black,female,0,0,40,united-states,<=50k
19,local-gov,27382,some-college,10,never-married,adm-clerical,own-child,white,male,0,0,40,united-states,<=50k
42,self-emp-not-inc,303044,hs-grad,9,married-civ-spouse,farming-fishing,husband,asian-pac-islander,male,0,0,40,cambodia,>50k
20,private,117789,hs-grad,9,never-married,other-service,own-child,white,female,0,0,40,united-states,<=50k
45,private,187666,assoc-voc,11,widowed,exec-managerial,not-in-family,white,female,0,0,45,united-states,<=50k
36,private,150042,bachelors,13,divorced,prof-specialty,own-child,white,female,0,0,40,united-states,<=50k
59,private,146013,some-college,10,married-civ-spouse,sales,husband,white,male,4064,0,40,united-states,<=50k
26,private,378322,11th,7,married-civ-spouse,craft-repair,husband,white,male,0,0,40,united-states,<=50k
64,private,21174,hs-grad,9,married-civ-spouse,exec-managerial,husband,white,male,0,0,40,united-states,>50k
33,private,185480,bachelors,13,never-married,prof-specialty,not-in-family,white,female,0,0,45,united-states,<=50k
33,private,222205,hs-grad,9,married-civ-spouse,craft-repair,wife,white,female,0,0,40,united-states,>50k
61,private,69867,hs-grad,9,married-civ-spouse,exec-managerial,husband,white,male,0,0,40,united-states,>50k
27,local-gov,209109,masters,14,never-married,prof-specialty,own-child,white,male,0,0,35,united-states,<=50k
30,private,70377,hs-grad,9,divorced,prof-specialty,own-child,white,female,0,0,40,united-states,<=50k
43,private,477983,hs-grad,9,married-civ-spouse,handlers-cleaners,husband,black,male,0,0,40,united-states,<=50k
